	Organization		Sponsorship Category		Years		Allocation																						
	Asian American and Pacific Islander Health Research Group		SISG		1		$500																						
	ASUC Student Legal Clinic		SISG		36		"$1,400"																						
	Bay Area Environmentally Aware Consulting Network		SISG		11		$400																						
	Be The Match On Campus at Berkeley		SISG		3		$600																						
	Bears for Elder Welfare		SISG		7		$400																						
	Bears for Palestine		SISG		5		"$2,350"																						
	Bears Without Borders		SISG		1		$500																						
	Berkeley Cambodian Students Association		SISG		5		$830																						
	Berkeley Disaster Team		SISG		4		"$1,000"																						
	Berkeley Medical Reserve Corps		SISG		6		berkel																						
	Best Buddies at Berkeley		SISG		13		$800																						
	Bhagat Puran Singh Health Initiative @ Berkeley		SISG		5		"$1,220"																						
	Bias Busters		SISG		1		Sponsorship Only																						
	Bio-Business Initiative		SISG		1		$500																						
	Blood Pressure Project		SISG		6		$500																						
	"Blueprint, Technology for Nonprofits"		SISG		7		"$2,000"																						
	Bone Health Initiative		SISG		4		$600																						
	Breathe at Berkeley		SISG		2		$500																						
	BUILD Literacy Program		SISG		1		$500																						
	Cal Berkeley Habitat for Humanity		SISG		20		"$2,500"																						
	Cal Community Music		SISG		34		$642																						
	Cal Rotaract		SISG		16		"$2,000"																						
	Cal Veterans Group		SISG		11		"$3,000"																						
	California Health Professional Student Alliance		SISG		3		$535																						
	Camp Kesem Berkeley		SISG		11		"$1,000"																						
	Chicano(a)s/Latino(a)s in Health Education		SISG		29		"$3,500"																						
	Colleges Against Cancer		SISG		16		"$1,500"																						
	Computer Science Mentors		SISG		4		Sponsorship Only																						
	Creative Residencies for Emerging Artists Teaching Empowerment		SISG		7		"$1,000"																						
	Dance Marathon		SISG		14		"$13,880"																						
	Dance the Bay		SISG		6		$600																						
	Delta Sigma Theta Sorority Incorporated-Kappa Chapter		SISG		18		"$1,320"																						
	Destress With Dogs		SISG		1		$485																						
	Doctors Without Borders at Berkeley		SISG		1		Sponsorship Only																						
	Down Syndrome Community Outreach		SISG		1		$210																						
	Engineers and Mentors of Berkeley		SISG		8		"$1,500"																						
	Engineers Without Borders at Berkeley		SISG		8		Sponsorship Only																						
	EthiCAL Apparel		SISG		10		Sponsorship Only																						
	Expanding Your Horizons at Berkeley		SISG		7		"$1,000"																						
	Financial Literacy and Economic Justice Conference		SISG		2		Sponsorship Only																						
	GiANT Filmmakers		SISG		11		"$1,900"																						
	Gift of Life at Berkeley		SISG		1		$500																						
	GirlUp at UC Berkeley		SISG		1		$500																						
	Global Medical Missions Alliance at Berkeley		SISG		3		$500																						
	GlobeMed at Berkeley		SISG		3		$400																						
	Grant A Wish at Berkeley		SISG		7		"$1,000"																						
	Greening the Greeks		SISG		7		$330																						
	Hands and Feet		SISG		5		Sponsorship Only																						
	Health and Medical Apprenticeship Program		SISG		36		"$10,700"																						
	Health Leads at Berkeley		SISG		1		$500																						
	Helix@Berkeley		SISG		1		$500																						
	Hermanos Unidos		SISG		2		$500																						
	Hidden Road Initiative		SISG		1		Sponsorship Only																						
	Hmong Student Association at Berkeley		SISG		12		"$3,000"																						
	Indigenous and Native Coalition Recruitment and Retention Center		SISG		26		Sponsorship Only																						
	InnoWorks of Berkeley		SISG		6		"$1,080"																						
	Inside the Living Room		SISG		1		$379																						
	INvent Berkeley		SISG		1		$500																						
	Jakara Movement Club at Berkeley		SISG		3		$600																						
	Jeeva Clinic		SISG		2		$500																						
	Kalanjiyam at Berkeley		SISG		1		$200																						
	Kidney Disease Screening and Awareness Program		SISG		3		$600																						
	Korean Compassion at Berkeley		SISG		1		$500																						
	Labor Coach Program		SISG		9		"$1,000"																						
	Ladies for Change		SISG		3		$600																						
	"Lambda Theta Alpha Latin Sorority, Incorporated"		SISG		11		"$1,500"																						
	"Lambda Theta Nu Sorority, Inc."		SISG		9		"$1,200"																						
	"Lambda Theta Phi, Latin Fraternity, Inc."		SISG		13		"$2,700"																						
	Laotian American Student Representatives		SISG		21		"$3,700"																						
	Latinx Caucus at the University of California-Berkeley		SISG		8		"$1,500"																						
	Let's Rise - Asian Mentorship Program		SISG		14		"$1,290"																						
	Lobby Days Coalition at Berkeley		SISG		3		$500																						
	Medical Reallocation Initiative		SISG		1		$500																						
	MEDLIFE		SISG		9		$750																						
	Middle Eastern North African Recruitment Retention Center		SISG		6		Sponsorship Only																						
